id,hip,hd,hr,gl,bf,proper,ra,dec,dist,mag,absmag,spect,ci,bayer,flam,con,lum
31048,31121,46229,2381,,,,6.530573,-8.158235,214.1328,5.43,-1.223,K2III,1.373,,,Mon,268.6581377269
31052,31125,46328,2387,,Xi 1 Cma,,6.530935,-23.418422,423.7288,4.34,-3.795,B1III,-0.245,Xi-1,4,CMa,2870.7805820247
31062,31137,46860,2412,,Mu  Pic,,6.532864,-58.753835,232.0186,5.69,-1.138,B9V,-0.057,Mu,,Pic,248.4276893697
31082,31159,46241,2382,,,,6.538668,4.855999,172.4138,5.88,-0.303,K0V,0.997,,12,Mon,115.1330474156
31088,31165,46568,2399,,,,6.539271,-37.696702,83.7521,5.25,0.635,G8III,0.982,,,Col,48.5288500162
31090,31167,46304,2386,,,,6.539758,-5.86882,41.841,5.6,2.492,F0Vnn+...,0.256,,,Mon,8.7740478796
31096,31173,46052,2372,,,,6.540885,32.454898,80.5802,5.82,1.289,A3m + A3m,0.188,,,Aur,26.5705167036
31113,31190,46547,2397,,,,6.54416,-32.030447,537.6344,5.73,-2.922,B2V,-0.18,,,CMa,1284.6948998312
31139,31216,46300,2385,,,,6.548396,7.332965,100000,4.47,-15.53,A0Ib,0.023,,13,Mon,141905752.168909
31200,31277,46374,2391,,,,6.560046,14.155163,77.0416,5.57,1.136,K2III:,1.105,,,Gem,30.5914455949
31201,31278,46487,2395,,,,6.560534,-1.220154,169.7793,5.09,-1.059,B5Vn,-0.132,,,Mon,230.9936280173
31222,31299,46815,2411,,,,6.563745,-36.232029,120.048,5.42,0.023,K3III,1.419,,,Col,85.2707337344
31285,31362,46936,2415,,,,6.576481,-32.716255,161.2903,5.62,-0.418,B9V,-0.085,,,CMa,127.9970616705
31330,31407,47306,2435,,,,6.58294,-52.975607,418.41,4.35,-3.758,B9III,-0.021,,,Car,2774.5975598804
31339,31416,46933,2414,,Xi 2 Cma,,6.584274,-22.964793,135.318,4.54,-1.117,A0III,-0.035,Xi-2,5,CMa,243.668842346
31357,31434,46553,2398,,,,6.586684,28.022314,113.3787,5.26,-0.013,A0Vnn,-0.008,,49,Aur,88.1454704447
31367,31446,46769,2409,,,,6.58773,0.890216,467.2897,5.78,-2.568,B8Ib,0.004,,,Mon,927.2567425806
31369,31448,46709,2406,,,,6.588221,9.988335,469.4836,5.93,-2.428,K4III,1.508,,,Mon,815.0795556116
31378,31457,47144,2424,,,,6.590061,-36.779879,156.25,5.59,-0.379,A0V,-0.13,,,Col,123.4809607859
31484,31564,47138,2423,,Nu 1 Cma,,6.606347,-18.659904,107.5269,5.71,0.552,G8/K0III+..,0.848,Nu-1,6,CMa,52.3841619028
31499,31579,46687,2405,,,,6.609121,38.4455,100000,5.4,-14.6,C5II,2.773,,,Aur,60255958.6074358
31503,31583,47054,2418,,,,6.609814,-5.211143,230.9469,5.52,-1.298,B8V,-0.082,,,Mon,287.8723810835
31512,31592,47205,2429,Gl 239.1,Nu 2 Cma,,6.611399,-19.255879,19.7511,3.95,2.472,K1III+...,1.037,Nu-2,7,CMa,8.9371696085
31518,31599,47182,2428,,,,6.612944,-13.321036,210.9705,5.95,-0.671,K4/K5III,1.562,,,CMa,161.5846120949
31557,31637,47500,2446,,,,6.62051,-36.990651,350.8772,5.72,-2.006,B6IV,-0.112,,,Col,552.5861556301
31585,31665,46590,2402,,,,6.627332,56.857531,101.7294,5.87,0.833,A2V,0.006,,11,Lyn,40.4389620508
31596,31676,46480,2394,,,,6.6282,61.481233,52.0562,5.94,2.358,G8IV-V,0.899,,8,Lyn,9.9265880687
31601,31681,47105,2421,,Gam Gem,Alhena,6.628528,16.399252,33.5121,1.93,-0.696,A0IV,0.001,Gam,24,Gem,165.3484012171
31605,31685,47670,2451,,Nu  Pup,,6.629353,-43.195934,113.8952,3.17,-2.113,B8III SB,-0.103,Nu,,Pup,609.8176639988
31608,31688,47536,2447,,,,6.629891,-32.339735,123.3046,5.25,-0.205,K1III,1.177,,,CMa,105.1961873823
31620,31700,47442,2443,,Nu 3 Cma,,6.631506,-18.237478,129.199,4.42,-1.136,K0II/III,1.137,Nu-3,8,CMa,247.9704898799
31657,31737,47152,2425,,,,6.639725,28.984354,106.2699,5.76,0.628,B9npe...,-0.001,,53,Aur,48.8427378423
31685,31765,47973,2462,,,,6.643787,-48.220183,146.1988,5.05,-0.775,G8III,0.997,,,Pup,177.8279410039
31691,31771,47070,2419,,,,6.644317,39.390854,149.7006,5.7,-0.176,K5III,1.367,,51,Aur,102.4235914122
31709,31789,47100,2420,,Psi 3 Aur,,6.646995,39.902559,420.1681,5.34,-2.777,B8III,-0.075,Psi-3,52,Aur,1124.0871934697
31746,31827,47667,2450,,,,6.654644,-14.145764,303.0303,4.82,-2.587,K2III,1.459,,,CMa,943.6262202767
31751,31832,47174,2427,,Psi 2 Aur,,6.655507,42.488877,127.551,4.8,-0.728,K3III,1.236,Psi-2,50,Aur,170.2942561878
31787,31870,47946,2460,,,,6.66185,-30.470491,73.3676,5.7,1.372,K1III,1.134,,,CMa,24.6150090623
31793,31876,47575,2449,,,,6.663255,12.982768,78.8644,5.99,1.506,A2V,0.063,,,Gem,21.7570495093
31814,31897,50506,2559,,Zet Men,,6.667474,-80.813593,126.9036,5.61,0.093,A5III,0.214,Zet,,Men,79.946600252
31857,31940,45866,2363,,,,6.674679,77.995782,214.1328,5.75,-0.903,K5III,1.488,,,Cam,200.0783052152
31863,31946,46509,2396,,,,6.675624,71.748786,237.5297,5.88,-0.999,K0III,1.223,,,Cam,218.5747548687
31895,31978,47839,2456,,,,6.682961,9.895754,281.6901,4.66,-2.589,O7,-0.233,,15,Mon,945.366045958
31909,31992,47964,2461,,,,6.684845,0.495323,384.6154,5.79,-2.135,B8III,-0.094,,,Mon,622.3002851692
31979,32064,48217,2469,,,,6.698996,-9.167537,105.5966,5.21,0.092,M0III,1.525,,,Mon,80.0202677119
32019,32104,48097,2466,,,,6.706757,17.645303,43.63,5.2,2.001,A2V,0.063,,26,Gem,13.7911346902
32088,32173,47914,2459,,Psi 4 Aur,,6.718051,44.52445,99.2063,5.04,0.057,K5III,1.479,Psi-4,55,Aur,82.6418441716
32141,32226,48434,2479,,,,6.727402,3.932528,877.193,5.88,-3.835,B0III,-0.046,,,Mon,2978.5164294292
32161,32246,48329,2473,,Eps Gem,,6.732202,25.131124,259.0674,3.06,-4.007,A3mA6-A9,1.377,Eps,27,Gem,3489.7956743788
32164,32249,48433,2478,,,,6.733137,13.228017,88.574,4.49,-0.247,K1III,1.167,,30,Gem,109.3452696731
32207,32292,48917,2492,,,,6.741241,-31.070523,100000,5.23,-14.77,B2V,-0.127,,10,CMa,70469306.8967145
32226,32311,48450,2480,,,,6.745961,28.970932,145.9854,5.42,-0.402,K4III,1.445,,28,Gem,126.1246575318
32263,32349,48915,2491,Gl 244A,Alp CMa,Sirius,6.752481,-16.716116,2.6371,-1.44,1.454,A0m...,0.009,Alp,9,CMa,22.8244331217
32276,32362,48737,2484,Gl 242,Xi  Gem,,6.754824,12.895591,17.9986,3.35,2.074,F5IV,0.443,Xi,31,Gem,12.8943661996
32280,32366,49095,2500,Gl 245.1,,,6.756378,-31.793661,24.3784,5.92,3.985,F7V,0.491,,,CMa,2.2181964198
32299,32385,49131,2501,,,,6.758664,-30.94898,581.3953,5.62,-3.202,B+...,-0.138,,,CMa,1662.6467968935
32316,32402,49517,2515,,,,6.764922,-52.409691,395.2569,5.81,-2.174,K3III,1.551,,,Car,645.0598332848
32325,32411,49048,2498,,,,6.766499,-14.796127,130.039,5.3,-0.27,A1IV/V,0.075,,,CMa,111.6863247781
32352,32438,48250,2470,,,,6.770595,59.44167,65.8328,4.86,0.768,A3V,0.084,,12,Lyn,42.933866347
32353,32439,46588,2401,Gl 240.1,,,6.77067,79.564811,17.8731,5.44,4.179,F8V,0.525,,,Cam,1.8552395755
32377,32463,48977,2494,,,,6.775671,8.587153,263.1579,5.92,-1.181,B2.5V,-0.173,,16,Mon,258.463963577
32388,32474,49147,2502,,,,6.777505,-10.10736,165.5629,5.66,-0.435,B9.5V,-0.048,,,Mon,130.0169578033
32394,32480,48682,2483,Gl 245,Psi 5 Aur,,6.778983,43.577427,16.7168,5.24,4.124,G0V,0.575,Psi-5,56,Aur,1.9516413003
32403,32489,48432,2477,,,,6.780417,57.169176,64.6831,5.34,1.286,K0III,0.964,,13,Lyn,26.6440352772
32406,32492,49229,2504,,,,6.780859,-14.425971,243.9024,5.28,-1.656,B8/B9III,-0.024,,11,CMa,400.313282178
32408,32494,49689,2523,,,,6.7813,-51.265667,252.5253,5.39,-1.622,K1II/IIIp+G:,1.33,,,Car,387.9716572937
32445,32531,49877,2526,,,,6.78853,-55.539988,184.5018,5.6,-0.73,K5III,1.549,,,Car,170.6082389003
32447,32533,49161,2503,,,,6.788842,8.037254,151.0574,4.77,-1.126,K4III,1.396,,17,Mon,245.6970827637
32451,32537,49591,2518,,,,6.789278,-37.929698,99.4036,5.27,0.283,B8/B9V,-0.078,,,Pup,67.1119719698
32472,32558,49331,2508,,,,6.793673,-8.998503,432.9004,5.08,-3.102,M1II,1.795,,,Mon,1516.3519007873
32476,32562,48781,2487,,Psi 6 Aur,,6.794327,48.789476,110.4972,5.22,0.003,K1III,1.131,Psi-6,57,Aur,86.8560350349
32492,32578,49293,2506,,,,6.79768,2.412159,112.8668,4.48,-0.783,K0III,1.099,,18,Mon,179.1430648406
32521,32607,50241,2550,Gl 248,Alp Pic,,6.803194,-61.941391,29.6033,3.24,0.883,A7IV,0.225,Alp,,Pic,38.6189089449
32523,32609,48766,2486,,,,6.803407,55.704195,44.2674,5.54,2.31,F5V:+...,,,,Lyn,10.3752841582
32531,32617,49434,2514,,,,6.805296,-1.318922,39.984,5.75,2.741,F1V,0.292,,,Mon,6.9758960433
32591,32677,49662,2522,,,,6.816038,-15.144726,162.0746,5.39,-0.659,B7IV,-0.096,,,CMa,159.8085459473
32612,32698,49643,2521,,,,6.821225,-2.272038,176.0563,5.75,-0.478,B8IIIn,-0.098,,,Mon,135.2695359013
32653,32740,49380,2512,,,,6.828143,32.606756,127.551,5.72,0.192,K3II,1.298,,,Gem,72.9793515214
32667,32753,49606,2519,,,,6.83051,16.202888,263.1579,5.87,-1.231,B7III,-0.136,,33,Gem,270.6449949038
32672,32759,50013,2538,,Kap CMa,,6.830683,-32.508478,202.0202,3.5,-3.027,B1.5IVne,-0.116,Kap,13,CMa,1415.1419329314
32675,32761,50337,2554,,,,6.830921,-53.622449,166.9449,4.41,-1.703,G6II,0.899,,,Car,418.022828954
32679,32765,50223,2548,Gl 249.1,,,6.831838,-46.61456,25.2589,5.14,3.128,F5III,0.46,,,Pup,4.8842737842
32682,32768,50310,2553,,Tau Pup,,6.832266,-50.61456,55.8036,2.94,-0.793,K0III...,1.207,Tau,,Pup,180.800655211
32723,32809,49980,2535,,,,6.83938,-17.084555,363.6364,5.77,-2.033,K3III,1.435,,,CMa,566.5001119195
32724,32810,50123,2545,,,,6.839819,-31.706057,199.2032,5.74,-0.756,B3V,0.094,,,CMa,174.7430855267
32728,32814,49738,2525,,,,6.840416,13.413177,540.5405,5.68,-2.984,K3III,1.329,,35,Gem,1360.1913228557
32758,32844,49520,2516,,Psi 7 Aur,,6.846097,41.78123,116.144,4.99,-0.335,K3III,1.256,Psi-7,58,Aur,118.5768748167
32765,32851,49933,2530,,,,6.847176,-0.540882,29.6824,5.78,3.418,F2V,0.396,,,Mon,3.7393834364
32769,32855,50235,2549,,,,6.847876,-34.367318,250,4.99,-2,K2/K3III,1.379,,,Pup,549.5408738576
32778,32864,48879,2490,,,,6.849191,67.571934,283.2861,5.14,-2.121,B4IV,-0.152,,42,Cam,614.3275612705
32826,32912,51557,2602,,Iot Vol,,6.857495,-70.963411,172.7116,5.41,-0.777,B7IV,-0.11,Iot,,Vol,178.1558140663
32834,32921,49908,2529,,,,6.859179,21.761148,150.6024,5.28,-0.609,A2V,-0.02,,36,Gem,152.6159765625
32851,32938,50445,2558,,,,6.861785,-36.23027,55.2181,5.94,2.23,A3V,0.183,,,Pup,11.1686324778
32881,32968,49968,2533,,,,6.866664,23.601718,141.844,5.68,-0.079,K5III,1.467,,,Gem,93.6698877952
32932,33018,50019,2540,,The Gem,,6.879816,33.961254,57.971,3.6,-0.216,A3III,0.102,The,34,Gem,106.2673865402
32937,33024,50277,2551,,,,6.880408,8.380373,62.3053,5.75,1.777,F0Vn,0.27,,,Mon,16.9511825153
32961,33048,49618,2520,,,,6.884738,59.448543,149.2537,5.34,-0.53,G4III...,0.675,,14,Lyn,141.9057521689
32990,33077,50644,2565,,,,6.88856,-19.032763,95.511,5.65,0.75,A9/F0III,0.279,,,CMa,43.651583224
33005,33092,50707,2571,,,,6.892474,-20.224254,373.1343,4.82,-3.039,B1Ib,-0.212,,15,CMa,1430.8694127493
33017,33104,49340,2511,,,,6.895068,68.888309,300.3003,5.11,-2.278,B7III,-0.114,,43,Cam,709.9046158553
33065,33152,50877,2580,,Omi 1 Cma,,6.902209,-24.184211,100000,3.89,-16.11,K3Iab,1.74,Omi-1,16,CMa,242102904.673618
33073,33160,50778,2574,,The CMa,,6.903167,-12.038628,79.9361,4.08,-0.434,K4III,1.418,The,14,CMa,129.8972628898
33097,33184,50747,2572,,,,6.906851,-1.126996,169.2047,5.44,-0.702,A4IV,0.167,,,Mon,166.2646796894
33115,33202,50635,2564,Wo 9220A,,,6.910732,13.177827,25.6279,4.73,2.686,F0Vp,0.321,,38,Gem,7.3383766733
33161,33248,51055,2588,,,,6.917427,-20.404876,154.5595,5.8,-0.145,A2V,0.048,,17,CMa,99.5405417352
33190,33277,50692,2569,Gl 252,,,6.921853,25.375697,17.2414,5.74,4.557,G0V,0.573,,37,Gem,1.3097849624
33215,33302,51199,2590,,Pi  CMa,,6.927064,-20.136497,29.5858,4.66,2.305,F2IV/V,0.374,Pi,19,CMa,10.4231742939
33229,33316,51283,2595,,,,6.929702,-22.941439,100000,5.29,-14.71,B2/B3III,-0.163,,,CMa,66680676.9213625
33258,33345,51250,2593,,Mu  CMa,,6.935179,-14.04343,381.6794,5,-2.908,B9.5V,1.182,Mu,18,CMa,1268.2357755556
33260,33347,51309,2596,,Iot CMa,,6.935618,-17.054242,769.2308,4.36,-5.07,B3Ib/II,-0.063,Iot,20,CMa,9289.6638677994
33270,33357,51799,2608,,,,6.937775,-48.721144,263.8522,4.94,-2.167,M1III,1.668,,,Pup,640.9143566448
33285,33372,51104,2589,,,,6.940509,9.956578,139.2758,5.9,0.181,B8Vn,-0.085,,,Mon,73.7224908104
33290,33377,50658,2568,,Psi 9 Aur,,6.942238,46.273998,386.1004,5.85,-2.084,B8III,-0.079,Psi-9,,Aur,593.7450473022
33297,33384,54239,2689,,The Men,,6.942911,-79.420193,107.9914,5.45,0.283,B9.5V,0.041,The,,Men,67.1119719698
33328,33415,50763,2573,,,,6.94891,46.705352,107.1811,5.88,0.729,K0III:,1.093,,,Aur,44.504097665
33334,33421,51000,2586,,,,6.950145,33.681039,129.5337,5.91,0.348,G5III,0.878,,,Gem,63.2120682005
33362,33449,50522,2560,,,,6.954612,58.422759,54.6747,4.35,0.661,G5III-IV,0.85,,15,Lyn,47.3805393339
33391,33478,51733,2607,,,,6.95942,-24.630841,37.9363,5.45,2.555,F3V,0.39,,,CMa,8.2794216371
33398,33485,50973,2585,,,,6.960309,45.094094,73.8552,4.9,0.558,A2Vn,0.027,,16,Lyn,52.0954747329
33471,33558,52092,2619,,,,6.973638,-34.111708,180.8318,5.07,-1.216,B4IV/V,-0.154,,,Pup,266.9316063624
33488,33575,52018,2616,,,,6.976639,-25.414157,264.5503,5.59,-1.523,B2V,-0.162,,,CMa,354.1604004265
33492,33579,52089,2618,,Eps CMa,Adhara,6.977097,-28.972084,124.2236,1.5,-3.971,B2II,-0.211,Eps,21,CMa,3375.9810485543
33516,33603,51814,2610,,,,6.982507,3.602355,257.0694,5.96,-1.09,G8III,1.056,,,Mon,237.6840286625
33595,33682,53501,2662,NN 3422,,,6.997378,-67.916443,89.6057,5.18,0.418,K3III,1.396,,,Vol,59.265233524
33607,33694,49878,2527,,,,7.001081,76.977408,56.338,4.55,0.796,K4III,1.365,,,Cam,41.8408019567
33628,33715,52005,2615,,,,7.004396,16.078998,100000,5.73,-14.27,K3Ib,1.641,,41,Gem,44463126.7469108
33642,33729,52312,2624,,,,7.006599,-8.406821,330.033,5.95,-1.643,B9III,-0.075,,,Mon,395.5487350556
33692,33779,53047,2652,,,,7.014303,-51.402585,198.0198,5.14,-1.344,M1III,1.652,,,Car,300.3308878677
33717,33804,52670,2640,,,,7.018318,-25.215634,312.5,5.64,-1.834,B2/B3III/IV,-0.165,,,CMa,471.6284552998
33740,33827,50885,2581,,,,7.022612,70.808296,156.0062,5.69,-0.276,K4III,1.337,,,Cam,112.3052347541
33769,33856,52877,2646,,Sig CMa,,7.028652,-27.93483,343.6426,3.49,-4.191,K4III,1.729,Sig,22,CMa,4134.2810804714
33790,33878,52666,2639,,,,7.032329,-5.722065,175.1313,5.22,-0.997,M2III,1.687,,,Mon,218.1724958988
33826,33914,52556,2632,,,,7.038193,15.336008,183.1502,5.78,-0.534,K1III:,1.14,,,Gem,142.4295164973
33839,33927,52497,2630,,Ome Gem,,7.040217,24.215446,456.621,5.2,-3.098,G5II,0.953,Ome,42,Gem,1510.775731925
33841,33929,52554,2631,,,,7.040426,17.755521,246.9136,5.96,-1.003,M1.5,1.518,,,Gem,219.3814991898
33849,33937,52609,2635,,,,7.04258,16.674447,769.2308,5.86,-3.57,M2III,1.659,,,Gem,2333.458062281
33882,33971,52918,2648,,,,7.048549,-4.239231,373.1343,4.99,-2.869,B1V,-0.195,,19,Mon,1223.4888053268
33888,33977,53138,2653,,Omi 2 Cma,,7.050409,-23.833291,847.4576,3.02,-6.621,B3Ia,-0.077,Omi-2,24,CMa,38761.4486700241
33910,34000,53921,2674,,,,7.054195,-59.178109,151.2859,5.5,-0.399,B9IV,-0.125,,,Car,125.7766432451
33913,34002,52913,2647,,,,7.054977,9.138355,101.9368,5.96,0.918,A3Vs,0.126,,,Mon,37.3938343643
33928,34017,52711,2643,Gl 262,,,7.058457,29.337081,19.1314,5.93,4.521,G4V,0.595,,,Gem,1.3539418114
33944,34033,52960,2649,,,,7.060576,10.951817,182.1494,5.14,-1.162,K3III,1.391,,,Gem,253.9802813773
33956,34045,53244,2657,,Gam CMa,,7.062637,-15.633286,135.5014,4.11,-1.55,B8II,-0.112,Gam,23,CMa,363.0780547701
33971,34059,53811,2672,,,,7.064896,-49.58392,60.5694,4.92,1.009,A4IV,0.14,,,Pup,34.3874522229
33977,34065,53705,2667,Gl 264.1A,,,7.065928,-43.608039,16.5153,5.56,4.471,G3V...,0.624,,,Pup,1.4177511231
33993,34081,53704,2666,,,,7.067444,-42.33728,106.8376,5.2,0.056,Am,0.198,,,Pup,82.7179951864
33998,34086,53208,2655,,,,7.068124,-5.323979,380.2281,5.63,-2.27,K3III,1.29,,,Mon,704.6930689671
34000,34088,52973,2650,,Zet Gem,,7.068481,20.570297,421.9409,4.01,-4.116,G3Ibv SB,0.899,Zet,43,Gem,3858.3355990535
34017,34105,54118,2683,,,,7.071757,-56.749724,92.2509,5.14,0.315,A0p:,-0.032,,,Car,65.1628394061
34127,34215,53510,2663,,,,7.094174,9.1858,303.9514,5.78,-1.634,M0III,1.513,,,Mon,392.2834625395
34177,34267,53329,2660,,,,7.103222,34.473967,92.6784,5.55,0.715,G8IV,0.909,,,Gem,45.0816704541
34211,34301,53974,2678,,,,7.111324,-11.294014,934.5794,5.41,-4.443,B0.5IV,0.033,,,CMa,5214.3478541446
34249,34339,54475,2691,,,,7.118633,-40.893268,238.0952,5.8,-1.084,B3V,-0.158,,,Pup,236.3741608116
34259,34349,54732,2698,,,,7.120359,-51.968283,166.9449,5.96,-0.153,K0III,0.996,,,Car,100.2766922997
34268,34358,53686,2665,,,,7.122889,34.009288,201.2072,5.94,-0.578,K4III,1.507,,,Gem,148.3200967182
34269,34360,54309,2690,,,,7.122941,-23.840722,100000,5.75,-14.25,B2V:nn,-0.117,,,CMa,43651583.2240167
34297,34387,54079,2682,,,,7.130414,7.471214,182.4818,5.74,-0.566,K0III:,1.176,,,CMi,146.6898282206
34350,34440,54131,2684,,,,7.139455,15.930675,98.912,5.47,0.494,G8III,1.02,,45,Gem,55.258615563
34354,34444,54605,2693,,Del CMa,Wezen,7.139857,-26.3932,492.6108,1.83,-6.633,F8Ia,0.671,Del,25,CMa,39192.2322454977
34382,34473,55864,2735,,Gam 1 Vol,,7.145098,-70.497087,49.6524,5.68,2.2,F2,0.436,Gam-1,,Vol,11.481536215
34389,34481,55865,2736,,Gam 2 Vol,,7.145788,-70.498932,42.8633,3.78,0.62,G8IIIvar,1.006,Gam-2,,Vol,49.2039535681
34404,34495,54893,2702,,,,7.147519,-39.655657,223.2143,4.83,-1.914,B3IV/V,-0.179,,,Pup,507.6916258882
34488,34579,54912,2704,,,,7.161951,-25.231034,564.9718,5.69,-3.07,B2V,-0.158,,,CMa,1472.3125024327
34530,34622,54810,2701,,,,7.170467,-4.237106,62.1891,4.91,0.941,K0III,1.02,,20,Mon,36.6100228547
34532,34624,55070,2708,,,,7.172034,-27.49152,216.4502,5.46,-1.217,G8III,0.998,,,CMa,267.1775727118
34578,34670,55526,2719,NN 3434,,,7.179858,-48.932098,96.8992,5.12,0.188,K2III,1.251,,,Pup,73.2487132665
34601,34693,54719,2697,,Tau Gem,,7.185659,30.245163,98.4252,4.41,-0.556,K2III,1.261,Tau,46,Gem,145.3449677918
34629,34722,54801,2700,,,,7.189741,26.856587,119.1895,5.75,0.369,A4IV,0.13,,47,Gem,62.0011864209
34631,34724,55057,2707,,,,7.189893,-0.301928,87.184,5.44,0.738,F2V,0.31,,21,Mon,44.1367143463
34660,34752,54716,2696,,,,7.194255,39.320549,148.8095,4.91,-0.953,K4II-III,1.451,,63,Aur,209.5077052365
34665,34758,55344,2716,,,,7.19489,-20.883063,143.2665,5.84,0.059,A0IV/V,-0.038,,,CMa,82.4897523935
34677,34769,55185,2714,,Del Mon,,7.197739,-0.492764,117.7856,4.15,-1.205,A2V,-0.005,Del,22,Mon,264.2408757322
34705,34798,55522,2718,,,,7.203393,-25.942588,257.0694,5.91,-1.14,B2IV/V,-0.17,,26,CMa,248.8857318282
34709,34802,55719,2727,,,,7.204392,-40.498808,126.1034,5.3,-0.204,A3p...,0.072,,,Pup,105.0993427186
34724,34817,55718,2726,,,,7.207173,-36.544381,278.5515,5.94,-1.285,B4V,-0.145,,,Pup,284.4461107448
34726,34819,55052,2706,,,,7.207327,24.128594,109.7695,5.85,0.648,F5IV,0.397,,48,Gem,47.9512574081
34741,34834,55892,2740,Gl 268.1,,,7.20935,-46.759305,21.427,4.49,2.835,F0IV,0.324,,,Pup,6.3973483548
34794,34888,55589,2723,,,,7.218665,-11.251341,202.4291,5.77,-0.761,K0,1.508,,,CMa,175.5496629621
34805,34899,56022,2746,,,,7.220377,-45.182739,56.5291,4.87,1.109,Ap,-0.003,,,Pup,31.3617291651
34815,34909,55383,2717,,,,7.222854,16.158966,165.8375,5.07,-1.028,K3V,1.653,,51,Gem,224.491550757
34818,34912,54895,2703,,,,7.223166,51.428745,221.7295,5.46,-1.269,M3III,1.64,,,Lyn,280.2850927647
34820,34914,55762,2730,,,,7.22334,-22.674241,245.098,5.99,-0.957,K4III,1.481,,,CMa,210.2809837038
34828,34922,56096,2748,,,,7.225637,-44.639739,64.0615,4.42,0.387,M5e,1.331,,,Pup,60.9817663999
34881,34975,55775,2731,,,,7.236347,-3.901779,396.8254,5.8,-2.193,K5III,1.585,,,Mon,656.4475019517
34887,34981,56014,2745,,,,7.237559,-26.352507,531.9149,4.42,-4.209,B3III,-0.17,,27,CMa,4203.3930323655
34888,34982,55832,2732,,,,7.237644,-9.947533,574.7126,5.9,-2.897,K3III,1.528,,,Mon,1255.4516736871
34893,34987,55751,2729,,,,7.238906,3.111414,227.2727,5.36,-1.423,K0III,1.193,,,CMi,322.9981240596
34911,35005,55730,2728,,,,7.242395,12.115824,90.2527,5.71,0.933,G6III,1.007,,,CMi,36.8807717226
34926,35020,56456,2762,,,,7.243928,-48.271927,115.4734,4.75,-0.562,B8/B9V,-0.091,,,Pup,146.1503972006
34931,35025,55621,2725,,,,7.244993,24.884984,92.081,5.84,1.019,M1IIIvar,1.554,,52,Gem,34.0721861659
34935,35029,56455,2761,,,,7.246117,-46.849672,142.4501,5.72,-0.048,A0p,-0.109,,,Pup,91.033239968
34943,35037,56139,2749,,Ome CMa,,7.246849,-26.772667,279.3296,4.01,-3.221,B2IV/Ve,-0.15,Ome,28,CMa,1691.998602503
34950,35044,56160,2750,,,,7.247546,-27.037996,83.3333,5.58,0.976,K3III,1.22,,,CMa,35.4486744474
34960,35054,56410,2759,,,,7.249209,-41.426394,167.7852,5.95,-0.174,B4III/IV,-0.146,,,Pup,102.2350938503
34990,35083,56342,2756,,,,7.255854,-30.686447,192.6782,5.36,-1.064,B2V,-0.155,,,CMa,232.0598461599
34991,35084,56705,2767,,,,7.255901,-52.499226,128.041,5.96,0.423,K0V,1.099,,,Car,58.9929345104
35027,35120,56031,2747,,,,7.260953,7.977742,166.3894,5.78,-0.326,M4III,1.537,,,CMi,117.5980174066
35034,35127,56207,2752,,,,7.262011,-10.583605,121.2121,5.95,0.532,K0,1.173,,,Mon,53.3580561846
35043,35136,55575,2721,GJ 1095,,,7.263925,47.239964,16.8919,5.54,4.402,G0V,0.576,,,Lyn,1.5107757319
35053,35146,55280,2715,,,,7.265267,59.637467,61.0128,5.2,1.273,K2III,1.081,,18,Lyn,26.9649736354
35060,35152,55870,2738,,,,7.26588,27.897419,235.8491,5.75,-1.113,M1III,1.605,,53,Gem,242.7727847681
35086,35180,56405,2758,Wo 9228,,,7.27071,-15.585689,82.5083,5.46,0.878,A1V,0.079,,,CMa,38.7971657294
35087,35181,56813,2771,,,,7.270965,-46.774533,230.4147,5.64,-1.173,K4III,1.441,,,Pup,256.5665297035
35107,35202,56733,2769,,,,7.275515,-38.318928,187.2659,5.81,-0.552,B4V,-0.133,,,Pup,144.8104823051
35110,35205,56618,2766,,,,7.276387,-27.881179,124.2236,4.66,-0.811,M2III,1.589,,,CMa,183.8230636884
35115,35210,56577,2764,,,,7.276898,-23.315594,434.7826,4.83,-3.361,K4III,1.601,,,CMa,1924.8637777825
35131,35226,56779,2770,,,,7.280392,-36.592633,230.9469,5.03,-1.788,B3V,-0.161,,,Pup,452.0640796485
35132,35228,57623,2803,,Del Vol,,7.280508,-67.957152,226.2443,3.97,-2.803,F6II,0.76,Del,,Vol,1151.3304741558
35169,35264,56855,2773,,Pi  Pup,,7.285711,-37.09747,247.5248,2.71,-4.258,K3Ib,1.616,Pi,,Pup,4397.4407844737
35208,35304,55866,2737,,,,7.2927,52.131071,183.4862,5.93,-0.388,K1III:,1.259,,,Lyn,124.5087863916
35244,35341,56221,2753,,,,7.300616,40.883392,85.2515,5.87,1.216,A5Vn,0.181,,64,Aur,28.4184246806
35250,35347,57197,2789,,,,7.301181,-43.986786,181.4882,5.86,-0.434,B8II/III,-0.117,,,Pup,129.8972628898
35253,35350,56537,2763,Wo 9231A,Lam Gem,,7.30155,16.540383,30.931,3.58,1.128,A3V...,0.106,Lam,54,Gem,30.8176841661
35266,35363,57150,2787,,,,7.30511,-36.733962,246.3054,4.65,-2.307,B2V+...,-0.099,,,Pup,729.1216599951
35287,35384,56169,2751,,,,7.308883,49.464756,106.9519,5,-0.146,A4IIIn,0.087,,,Lyn,99.6322641954
35295,35393,57240,2791,,,,7.309309,-39.210285,141.844,5.24,-0.519,A0V,0.026,,,Pup,140.4753102697
